#                      Published-Value                         |                      NED-Homogenized-Values                   
#      Spectral-axis           Intensity         Uncertainty   |          Spectral-axis           Intensity         Uncertainty
#         [Angstrom]      [erg/cm^2/s/A]      [erg/cm^2/s/A]   |                   [Hz]          [W/m^2/Hz]          [W/m^2/Hz]
           3842.0504           0.6275812                       |         7.80292885e+14      3.09011994e-15                    
            3846.098           0.6793893                       |         7.79471711e+14      3.35226768e-15                    
           3850.1456           0.7367097                       |         7.78652264e+14      3.64275523e-15                    
           3854.1931           0.8086048                       |         7.77834559e+14      4.00666055e-15                    
           3858.2407           0.7896557                       |         7.77018549e+14      3.92098974e-15                    
           3862.2883            0.766035                       |         7.76204249e+14      3.81168748e-15                    
           3866.3359           0.8018426                       |         7.75391654e+14      3.99822827e-15                    
           3870.3834           0.7574233                       |         7.74580779e+14      3.78465183e-15                    
            3874.431           0.7387143                       |         7.73771578e+14      3.69889211e-15                    
           3878.4786           0.7032257                       |         7.72964066e+14      3.52855449e-15                    
           3882.5262            0.668879                       |         7.72158238e+14      3.36322287e-15                    
           3886.5737           0.6353256                       |         7.71354108e+14      3.20117536e-15                    
           3890.6213           0.6647655                       |         7.70551631e+14      3.35649255e-15                    
           3894.6689           0.7341908                       |         7.69750823e+14      3.71474767e-15                    
           3898.7165           0.7418957                       |         7.68951677e+14      3.76153807e-15                    
            3902.764            0.769553                       |         7.68154208e+14      3.90987085e-15                    
           3906.8116           0.7880411                       |         7.67358372e+14      4.01211249e-15                    
           3910.8592           0.8243999                       |         7.66564184e+14      4.20592561e-15                    
           3914.9068           0.8442104                       |         7.65771637e+14      4.31591466e-15                    
           3918.9543           0.8056719                       |         7.64980748e+14      4.12741284e-15                    
           3923.0019           0.7529754                       |         7.64191470e+14      3.86542384e-15                    
           3927.0495           0.6501862                       |         7.63403820e+14      3.34464319e-15                    
           3931.0971           0.6260411                       |         7.62617792e+14      3.22707964e-15                    
           3935.1446           0.6274064                       |         7.61833400e+14      3.24078061e-15                    
           3939.1922           0.6713754                       |         7.61050601e+14      3.47503403e-15                    
           3943.2398           0.7467372                       |         7.60269408e+14      3.87305318e-15                    
           3947.2874           0.7712682                       |         7.59489818e+14      4.00850304e-15                    
           3951.3349           0.7530074                       |         7.58711844e+14      3.92162643e-15                    
           3955.3825            0.707509                       |         7.57935444e+14      3.69222569e-15                    
           3959.4301           0.6907802                       |         7.57160630e+14      3.61230604e-15                    
           3963.4777           0.6295463                       |         7.56387399e+14      3.29882904e-15                    
           3967.5252           0.5614168                       |         7.55615765e+14      2.94784122e-15                    
           3971.5728           0.5865169                       |         7.54845685e+14      3.08592155e-15                    
           3975.6204           0.6535708                       |         7.54077172e+14      3.44573407e-15                    
            3979.668           0.7454061                       |         7.53310223e+14      3.93791125e-15                    
           3983.7155           0.8224728                       |         7.52544852e+14      4.35389018e-15                    
           3987.7631           0.8551417                       |         7.51781015e+14      4.53603170e-15                    
           3991.8107           0.9033342                       |         7.51018727e+14      4.80139708e-15                    
           3995.8583           0.9151124                       |         7.50257983e+14      4.87386947e-15                    
           3999.9058           0.9096681                       |         7.49498798e+14      4.85469319e-15                    
           4003.9534           0.9187038                       |         7.48741129e+14      4.91284245e-15                    
            4008.001           0.9047827                       |         7.47984991e+14      4.84818547e-15                    
           4012.0486            0.918151                       |         7.47230378e+14      4.92976001e-15                    
           4016.0961           0.9387062                       |         7.46477304e+14      5.05029997e-15                    
           4020.1437           0.9431665                       |         7.45725729e+14      5.08453003e-15                    
           4024.1913           0.9096299                       |         7.44975665e+14      4.91361651e-15                    
           4028.2389           0.9132324                       |         7.44227109e+14      4.94300494e-15                    
           4032.2864           0.9182779                       |         7.43480074e+14      4.98030763e-15                    
            4036.334           0.9330192                       |         7.42734519e+14      5.07042156e-15                    
           4040.3816           0.9171651                       |         7.41990457e+14      4.99426503e-15                    
           4044.4292           0.8984853                       |         7.41247885e+14      4.90235488e-15                    
           4048.4767            0.885818                       |         7.40506816e+14      4.84291766e-15                    
           4052.5243            0.890977                       |         7.39767209e+14      4.88086779e-15                    
           4056.5719           0.8922056                       |         7.39029078e+14      4.89736639e-15                    
           4060.6195           0.9026877                       |         7.38292418e+14      4.96479604e-15                    
            4064.667             0.89019                       |         7.37557244e+14      4.90582385e-15                    
           4068.7146           0.8827179                       |         7.36823514e+14      4.87433848e-15                    
           4072.7622            0.890791                       |         7.36091243e+14      4.92870951e-15                    
           4076.8097           0.8507617                       |         7.35360444e+14      4.71658978e-15                    
           4080.8573           0.8817993                       |         7.34631076e+14      4.89837311e-15                    
           4084.9049           0.8905348                       |         7.33903154e+14      4.95671663e-15                    
           4088.9525           0.8771917                       |         7.33176673e+14      4.89212945e-15                    
                4093           0.8261693                       |         7.32451647e+14      4.61670195e-15                    
           4097.0476           0.8049287                       |         7.31728035e+14      4.50690836e-15                    
           4101.0952           0.7761607                       |         7.31005852e+14      4.35442331e-15                    
           4105.1428           0.8403008                       |         7.30285093e+14      4.72357277e-15                    
           4109.1903           0.8509665                       |         7.29565771e+14      4.79296511e-15                    
           4113.2379           0.8500985                       |         7.28847848e+14      4.79751347e-15                    
           4117.2855           0.8581776                       |         7.28131336e+14      4.85264404e-15                    
           4121.3331           0.8518843                       |         7.27416231e+14      4.82653371e-15                    
