#                      Published-Value                         |                      NED-Homogenized-Values                   
#      Spectral-axis           Intensity         Uncertainty   |          Spectral-axis           Intensity         Uncertainty
#         [Angstrom]      [erg/cm^2/s/A]      [erg/cm^2/s/A]   |                   [Hz]          [W/m^2/Hz]          [W/m^2/Hz]
           4991.5616           0.9717496                       |         6.00598536e+14      8.07619016e-15                    
           4995.6092            1.016996                       |         6.00111912e+14      8.46594522e-15                    
           4999.6567            1.059069                       |         5.99626088e+14      8.83047206e-15                    
           5003.7043            1.083828                       |         5.99141038e+14      9.05154960e-15                    
           5007.7519            1.089881                       |         5.98656773e+14      9.11683271e-15                    
           5011.7995             1.08474                       |         5.98173289e+14      9.08850243e-15                    
            5015.847           0.9983552                       |         5.97690597e+14      8.37824278e-15                    
           5019.8946           0.9470971                       |         5.97208672e+14      7.96091523e-15                    
           5023.9422           0.9655935                       |         5.96727524e+14      8.12948245e-15                    
           5027.9898           0.9583433                       |         5.96247150e+14      8.08144799e-15                    
           5032.0373           0.9358774                       |         5.95767561e+14      7.90471031e-15                    
           5036.0849           0.9463418                       |         5.95288731e+14      8.00595980e-15                    
           5040.1325           0.9503683                       |         5.94810670e+14      8.05295264e-15                    
           5044.1801           0.9783463                       |         5.94333376e+14      8.30334478e-15                    
           5048.2276           0.9847548                       |         5.93856860e+14      8.37115254e-15                    
           5052.2752            1.009813                       |         5.93381095e+14      8.59793684e-15                    
           5056.3228           0.9969808                       |         5.92906092e+14      8.50228530e-15                    
           5060.3704             1.00467                       |         5.92431848e+14      8.58158173e-15                    
           5064.4179           0.9957904                       |         5.91958375e+14      8.51934687e-15                    
           5068.4655           0.9582553                       |         5.91485646e+14      8.21133017e-15                    
           5072.5131           0.9767164                       |         5.91013671e+14      8.38289700e-15                    
           5076.5607            0.986239                       |         5.90542449e+14      8.47814099e-15                    
           5080.6082           0.9866875                       |         5.90071990e+14      8.49552714e-15                    
           5084.6558           0.9691907                       |         5.89602268e+14      8.35817870e-15                    
           5088.7034           0.9657403                       |         5.89133293e+14      8.34168771e-15                    
            5092.751           0.9922814                       |         5.88665063e+14      8.58457960e-15                    
           5096.7985           0.9704415                       |         5.88197589e+14      8.40898513e-15                    
           5100.8461           0.9602774                       |         5.87730845e+14      8.33413334e-15                    
           5104.8937           0.9814908                       |         5.87264842e+14      8.53176599e-15                    
           5108.9413           0.9863005                       |         5.86799576e+14      8.58717621e-15                    
           5112.9888           0.9979631                       |         5.86335059e+14      8.70248858e-15                    
           5117.0364           0.9551465                       |         5.85871265e+14      8.34230948e-15                    
            5121.084           0.9563296                       |         5.85408205e+14      8.36586193e-15                    
           5125.1315           0.9585027                       |         5.84945887e+14      8.39813133e-15                    
           5129.1791           0.9689967                       |         5.84484287e+14      8.50349228e-15                    
           5133.2267           0.9598374                       |         5.84023416e+14      8.43641340e-15                    
           5137.2743           0.9663091                       |         5.83563270e+14      8.50669526e-15                    
           5141.3218           0.9448174                       |         5.83103861e+14      8.33060905e-15                    
           5145.3694           0.9189498                       |         5.82645162e+14      8.11529295e-15                    
            5149.417           0.9629319                       |         5.82187185e+14      8.51708526e-15                    
           5153.4646            0.947698                       |         5.81729928e+14      8.39552490e-15                    
           5157.5121           0.9412138                       |         5.81273399e+14      8.35118478e-15                    
           5161.5597           0.9153616                       |         5.80817575e+14      8.13455678e-15                    
           5165.6073           0.8721719                       |         5.80362466e+14      7.76290301e-15                    
           5169.6549           0.8840345                       |         5.79908069e+14      7.88082375e-15                    
           5173.7024           0.8535044                       |         5.79454394e+14      7.62057861e-15                    
             5177.75           0.8650821                       |         5.79001418e+14      7.73604124e-15                    
           5181.7976           0.9073541                       |         5.78549149e+14      8.12675174e-15                    
           5185.8452           0.9353819                       |         5.78097586e+14      8.39087700e-15                    
           5189.8927           0.9547281                       |         5.77646738e+14      8.57779689e-15                    
           5193.9403            0.981305                       |         5.77196582e+14      8.83033570e-15                    
           5197.9879           0.9540321                       |         5.76747127e+14      8.59830431e-15                    
           5202.0355           0.9624981                       |         5.76298372e+14      8.68811978e-15                    
            5206.083           0.9867775                       |         5.75850325e+14      8.92114728e-15                    
           5210.1306           0.9466965                       |         5.75402964e+14      8.57210114e-15                    
           5214.1782           0.9602543                       |         5.74956297e+14      8.70837847e-15                    
           5218.2258           0.9870518                       |         5.74510323e+14      8.96530308e-15                    
           5222.2733           0.9684465                       |         5.74065051e+14      8.80996376e-15                    
           5226.3209           0.9822435                       |         5.73620458e+14      8.94933167e-15                    
           5230.3685           0.9915415                       |         5.73176553e+14      9.04804531e-15                    
           5234.4161            0.990463                       |         5.72733335e+14      9.05219787e-15                    
           5238.4636            1.003703                       |         5.72290813e+14      9.18739479e-15                    
           5242.5112           0.9892616                       |         5.71848962e+14      9.06920421e-15                    
           5246.5588           0.9864266                       |         5.71407794e+14      9.05718335e-15                    
           5250.6064            1.007848                       |         5.70967306e+14      9.26815442e-15                    
           5254.6539           0.9903064                       |         5.70527507e+14      9.12088781e-15                    
           5258.7015           0.9770087                       |         5.70088374e+14      9.01228186e-15                    
           5262.7491           0.9491867                       |         5.69649917e+14      8.76912521e-15                    
           5266.7967           0.9088469                       |         5.69212134e+14      8.40936369e-15                    
           5270.8442           0.9313686                       |         5.68775034e+14      8.63100257e-15                    
           5274.8918           0.9478406                       |         5.68338594e+14      8.79714427e-15                    
           5278.9394           0.9744276                       |         5.67902823e+14      9.05778953e-15                    
            5282.987           0.9874051                       |         5.67467720e+14      9.19250227e-15                    
           5287.0345            1.014668                       |         5.67033294e+14      9.46079318e-15                    
           5291.0821            1.007618                       |         5.66599522e+14      9.40944945e-15                    
           5295.1297            1.009385                       |         5.66166413e+14      9.44037719e-15                    
           5299.1773            1.040452                       |         5.65733966e+14      9.74581685e-15                    
           5303.2248            1.020501                       |         5.65302189e+14      9.57354547e-15                    
           5307.2724            1.037985                       |         5.64871061e+14      9.75243649e-15                    
             5311.32            1.028355                       |         5.64440589e+14      9.67670041e-15                    
           5315.3676             1.00934                       |         5.64010773e+14      9.51225294e-15                    
           5319.4151            1.019131                       |         5.63581622e+14      9.61915829e-15                    
           5323.4627           0.9908322                       |         5.63153113e+14      9.36629513e-15                    
           5327.5103           0.9815526                       |         5.62725255e+14      9.29269043e-15                    
           5331.5578           0.9511849                       |         5.62298057e+14      9.01887747e-15                    
           5335.6054           0.9931749                       |         5.61871496e+14      9.43131907e-15                    
            5339.653           0.9963889                       |         5.61445583e+14      9.47620062e-15                    
           5343.7006             1.00196                       |         5.61020314e+14      9.54363704e-15                    
           5347.7481            1.046594                       |         5.60595700e+14      9.98388156e-15                    
           5351.7957            1.049066                       |         5.60171718e+14      1.00226176e-14                    
           5355.8433            1.042585                       |         5.59748376e+14      9.97577148e-15                    
           5359.8909            1.018466                       |         5.59325674e+14      9.75972836e-15                    
           5363.9384            1.019472                       |         5.58903620e+14      9.78412880e-15                    
            5367.986             1.00705                       |         5.58482192e+14      9.67950344e-15                    
           5372.0336            1.011005                       |         5.58061400e+14      9.73217792e-15                    
           5376.0812            1.052064                       |         5.57641241e+14      1.01426887e-14                    
           5380.1287            1.028029                       |         5.57221724e+14      9.92590218e-15                    
           5384.1763           0.9795153                       |         5.56802828e+14      9.47172464e-15                    
           5388.2239           0.9967949                       |         5.56384561e+14      9.65331262e-15                    
           5392.2715           0.9958257                       |         5.55966922e+14      9.65842090e-15                    
            5396.319           0.9964018                       |         5.55549920e+14      9.67852171e-15                    
           5400.3666            1.002077                       |         5.55133533e+14      9.74825486e-15                    
           5404.4142            0.977906                       |         5.54717769e+14      9.52738377e-15                    
           5408.4618           0.9806077                       |         5.54302628e+14      9.56802118e-15                    
           5412.5093            0.987463                       |         5.53888118e+14      9.64933621e-15                    
           5416.5569           0.9955578                       |         5.53474217e+14      9.74299309e-15                    
           5420.6045            1.010089                       |         5.53060934e+14      9.89998143e-15                    
           5424.6521           0.9966377                       |         5.52648268e+14      9.78273723e-15                    
           5428.6996            1.004807                       |         5.52236228e+14      9.87764852e-15                    
           5432.7472            1.013955                       |         5.51824791e+14      9.98244601e-15                    
           5436.7948            0.988243                       |         5.51413967e+14      9.74381267e-15                    
           5440.8424           0.9930831                       |         5.51003754e+14      9.80611946e-15                    
           5444.8899            0.982017                       |         5.50594162e+14      9.71128068e-15                    
           5448.9375            1.008011                       |         5.50185167e+14      9.98316433e-15                    
           5452.9851            1.004496                       |         5.49776780e+14      9.96313762e-15                    
           5457.0327            1.004048                       |         5.49368999e+14      9.97348373e-15                    
           5461.0802            1.029648                       |         5.48961832e+14      1.02429531e-14                    
           5465.1278             1.01801                       |         5.48555258e+14      1.01421957e-14                    
           5469.1754           0.9819107                       |         5.48149286e+14      9.79704249e-15                    
            5473.223           0.9927291                       |         5.47743914e+14      9.91964968e-15                    
           5477.2705           0.9904497                       |         5.47339152e+14      9.91151630e-15                    
           5481.3181            1.025029                       |         5.46934977e+14      1.02727202e-14                    
           5485.3657            1.013839                       |         5.46531399e+14      1.01755868e-14                    
           5489.4133            1.008668                       |         5.46128416e+14      1.01386329e-14                    
           5493.4608             1.01214                       |         5.45726037e+14      1.01885397e-14                    
           5497.5084           0.9998286                       |         5.45324240e+14      1.00794458e-14                    
            5501.556            1.016471                       |         5.44923035e+14      1.02623155e-14                    
           5505.6036            1.006436                       |         5.44522419e+14      1.01759587e-14                    
           5509.6511             1.01072                       |         5.44122402e+14      1.02343049e-14                    
           5513.6987            1.034327                       |         5.43722962e+14      1.04887375e-14                    
           5517.7463            1.016337                       |         5.43324109e+14      1.03214447e-14                    
           5521.7939           0.9897944                       |         5.42925840e+14      1.00666431e-14                    
           5525.8414            1.011442                       |         5.42528164e+14      1.03018948e-14                    
            5529.889            1.023061                       |         5.42131061e+14      1.04355094e-14                    
           5533.9366            1.016437                       |         5.41734538e+14      1.03831259e-14                    
           5537.9841            1.012487                       |         5.41338606e+14      1.03579107e-14                    
           5542.0317            1.003724                       |         5.40943241e+14      1.02832789e-14                    
           5546.0793           0.9976171                       |         5.40548454e+14      1.02356477e-14                    
           5550.1269           0.9915295                       |         5.40154242e+14      1.01880428e-14                    
           5554.1744           0.9855369                       |         5.39760615e+14      1.01412435e-14                    
            5558.222            0.970529                       |         5.39367551e+14      1.00013722e-14                    
           5562.2696            1.001143                       |         5.38975060e+14      1.03318830e-14                    
           5566.3172            1.012146                       |         5.38583139e+14      1.04606425e-14                    
           5570.3647             1.00694                       |         5.38191797e+14      1.04219779e-14                    
           5574.4123            0.980646                       |         5.37801014e+14      1.01645869e-14                    
           5578.4599           0.9827179                       |         5.37410799e+14      1.02008601e-14                    
           5582.5075           0.9864083                       |         5.37021149e+14      1.02540314e-14                    
            5586.555           0.9709102                       |         5.36632073e+14      1.01075644e-14                    
           5590.6026           0.9763541                       |         5.36243551e+14      1.01789714e-14                    
           5594.6502            1.017713                       |         5.35855591e+14      1.06255273e-14                    
           5598.6978           0.9753757                       |         5.35468192e+14      1.01982412e-14                    
           5602.7453            1.013214                       |         5.35081363e+14      1.06091903e-14                    
           5606.7929            1.017577                       |         5.34695082e+14      1.06702749e-14                    
           5610.8405            1.017999                       |         5.34309359e+14      1.06901179e-14                    
           5614.8881           0.9829298                       |         5.33924192e+14      1.03367499e-14                    
           5618.9356           0.9984661                       |         5.33539589e+14      1.05152773e-14                    
           5622.9832            1.005386                       |         5.33155530e+14      1.06034136e-14                    
           5627.0308           0.9946155                       |         5.32772024e+14      1.05049286e-14                    
           5631.0784            1.019019                       |         5.32389070e+14      1.07781625e-14                    
           5635.1259            1.009423                       |         5.32006674e+14      1.06920194e-14                    
           5639.1735            1.028778                       |         5.31624819e+14      1.09126915e-14                    
           5643.2211           0.9917644                       |         5.31243511e+14      1.05351796e-14                    
           5647.2687           0.9676804                       |         5.30862750e+14      1.02940944e-14                    
           5651.3162            1.019247                       |         5.30482543e+14      1.08582029e-14                    
           5655.3638            1.004199                       |         5.30102872e+14      1.07132237e-14                    
           5659.4114           0.9741653                       |         5.29723743e+14      1.04076932e-14                    
            5663.459           0.9873205                       |         5.29345156e+14      1.05633330e-14                    
           5667.5065            1.009571                       |         5.28967120e+14      1.08168353e-14                    
           5671.5541            1.029635                       |         5.28589614e+14      1.10475697e-14                    
           5675.6017             1.03188                       |         5.28212646e+14      1.10874662e-14                    
           5679.6493           0.9727755                       |         5.27836215e+14      1.04673070e-14                    
           5683.6968           0.9523866                       |         5.27460330e+14      1.02625285e-14                    
           5687.7444           0.9936235                       |         5.27084971e+14      1.07221355e-14                    
            5691.792            1.007142                       |         5.26710145e+14      1.08834865e-14                    
           5695.8396           0.9907095                       |         5.26335852e+14      1.07211439e-14                    
           5699.8871           0.9966199                       |         5.25962100e+14      1.08004377e-14                    
           5703.9347           0.9750403                       |         5.25588869e+14      1.05815905e-14                    
           5707.9823           0.9684327                       |         5.25216168e+14      1.05248030e-14                    
           5712.0299           0.9792689                       |         5.24843995e+14      1.06576684e-14                    
           5716.0774           0.9931487                       |         5.24472358e+14      1.08240497e-14                    
            5720.125             1.02019                       |         5.24101237e+14      1.11345174e-14                    
           5724.1726            1.027169                       |         5.23730642e+14      1.12265584e-14                    
           5728.2202            1.023045                       |         5.23360570e+14      1.11973033e-14                    
           5732.2677            1.048873                       |         5.22991030e+14      1.14962217e-14                    
           5736.3153            1.027766                       |         5.22622003e+14      1.12807915e-14                    
           5740.3629            1.036289                       |         5.22253496e+14      1.13903975e-14                    
           5744.4105            1.027256                       |         5.21885508e+14      1.13070397e-14                    
            5748.458            1.039019                       |         5.21518047e+14      1.14526374e-14                    
           5752.5056            1.014654                       |         5.21151095e+14      1.11998284e-14                    
           5756.5532            1.037224                       |         5.20784658e+14      1.14650749e-14                    
           5760.6007            1.045055                       |         5.20418746e+14      1.15678857e-14                    
           5764.6483            1.027198                       |         5.20053338e+14      1.13862075e-14                    
           5768.6959            1.049111                       |         5.19688443e+14      1.16454434e-14                    
           5772.7435            1.027107                       |         5.19324060e+14      1.14171973e-14                    
            5776.791            1.027131                       |         5.18960196e+14      1.14334802e-14                    
           5780.8386            1.044676                       |         5.18596833e+14      1.16450834e-14                    
           5784.8862            1.006587                       |         5.18233978e+14      1.12362205e-14                    
           5788.9338            1.021976                       |         5.17871631e+14      1.14239728e-14                    
           5792.9813            1.044658                       |         5.17509799e+14      1.16938544e-14                    
           5797.0289            1.010022                       |         5.17148464e+14      1.13219455e-14                    
           5801.0765            1.016464                       |         5.16787632e+14      1.14100746e-14                    
           5805.1241            1.021522                       |         5.16427304e+14      1.14828591e-14                    
           5809.1716             1.03806                       |         5.16067487e+14      1.16850389e-14                    
           5813.2192             1.03028                       |         5.15708162e+14      1.16136294e-14                    
           5817.2668            1.035149                       |         5.15349337e+14      1.16847689e-14                    
           5821.3144            1.008184                       |         5.14991011e+14      1.13962300e-14                    
           5825.3619           0.9892759                       |         5.14633192e+14      1.11980537e-14                    
           5829.4095            1.008147                       |         5.14275861e+14      1.14275278e-14                    
           5833.4571            1.070707                       |         5.13919026e+14      1.21535165e-14                    
           5837.5047            1.033564                       |         5.13562685e+14      1.17481953e-14                    
           5841.5522              1.0069                       |         5.13206848e+14      1.14609907e-14                    
           5845.5998           0.9646924                       |         5.12851494e+14      1.09957868e-14                    
           5849.6474           0.9372303                       |         5.12496632e+14      1.06975665e-14                    
            5853.695           0.9426191                       |         5.12142261e+14      1.07739688e-14                    
           5857.7425            0.948696                       |         5.11788388e+14      1.08584271e-14                    
           5861.7901           0.9701071                       |         5.11434995e+14      1.11188406e-14                    
           5865.8377           0.9652166                       |         5.11082090e+14      1.10780715e-14                    
           5869.8853           0.9931783                       |         5.10729671e+14      1.14147327e-14                    
           5873.9328            1.027292                       |         5.10377747e+14      1.18230942e-14                    
           5877.9804            1.016097                       |         5.10026299e+14      1.17103731e-14                    
            5882.028           0.9471226                       |         5.09675335e+14      1.09304910e-14                    
           5886.0756           0.9571462                       |         5.09324853e+14      1.10613783e-14                    
           5890.1231            0.888432                       |         5.08974862e+14      1.02813994e-14                    
           5894.1707           0.9108384                       |         5.08625342e+14      1.05551898e-14                    
           5898.2183           0.9541951                       |         5.08276303e+14      1.10728180e-14                    
           5902.2659           0.9582201                       |         5.07927742e+14      1.11347921e-14                    
           5906.3134           0.9557887                       |         5.07579667e+14      1.11217765e-14                    
            5910.361            0.963097                       |         5.07232061e+14      1.12221829e-14                    
           5914.4086           0.9798412                       |         5.06884930e+14      1.14329326e-14                    
           5918.4562           0.9942293                       |         5.06538274e+14      1.16166988e-14                    
           5922.5037            1.008152                       |         5.06192101e+14      1.17954902e-14                    
           5926.5513           0.9971291                       |         5.05846392e+14      1.16824729e-14                    
           5930.5989            0.957374                       |         5.05501154e+14      1.12320242e-14                    
           5934.6465            0.991703                       |         5.05156388e+14      1.16506628e-14                    
            5938.694             1.00766                       |         5.04812100e+14      1.18542808e-14                    
           5942.7416           0.9863198                       |         5.04468273e+14      1.16190532e-14                    
           5946.7892           0.9900793                       |         5.04124913e+14      1.16792341e-14                    
           5950.8368            1.018592                       |         5.03782021e+14      1.20319394e-14                    
           5954.8843            1.007421                       |         5.03439603e+14      1.19161771e-14                    
           5958.9319           0.9800647                       |         5.03097642e+14      1.16083605e-14                    
           5962.9795           0.9757456                       |         5.02756146e+14      1.15729088e-14                    
            5967.027            1.019551                       |         5.02415121e+14      1.21088878e-14                    
           5971.0746             1.04512                       |         5.02074550e+14      1.24294081e-14                    
           5975.1222            1.026115                       |         5.01734440e+14      1.22199355e-14                    
           5979.1698            1.002262                       |         5.01394791e+14      1.19520482e-14                    
           5983.2173            0.998883                       |         5.01055609e+14      1.19278857e-14                    
           5987.2649           0.9985688                       |         5.00716878e+14      1.19402724e-14                    
           5991.3125           0.9941545                       |         5.00378605e+14      1.19035671e-14                    
           5995.3601            1.002466                       |         5.00040788e+14      1.20193088e-14                    
           5999.4076            1.025363                       |         4.99703436e+14      1.23104428e-14                    
           6003.4552           0.9861925                       |         4.99366530e+14      1.18561460e-14                    
           6007.5028            0.996564                       |         4.99030078e+14      1.19969943e-14                    
           6011.5504           0.9802198                       |         4.98694079e+14      1.18161434e-14                    
           6015.5979           0.9797037                       |         4.98358541e+14      1.18258303e-14                    
           6019.6455           0.9868035                       |         4.98023445e+14      1.19275655e-14                    
           6023.6931            1.038146                       |         4.97688800e+14      1.25650264e-14                    
           6027.7407            1.041548                       |         4.97354604e+14      1.26231490e-14                    
           6031.7882            1.023896                       |         4.97020865e+14      1.24258844e-14                    
           6035.8358            1.009574                       |         4.96687566e+14      1.22685231e-14                    
           6039.8834            1.017984                       |         4.96354713e+14      1.23873200e-14                    
            6043.931            1.011558                       |         4.96022306e+14      1.23256287e-14                    
           6047.9785            1.008383                       |         4.95690352e+14      1.23034041e-14                    
           6052.0261            1.041254                       |         4.95358834e+14      1.27214778e-14                    
           6056.0737            1.023875                       |         4.95027759e+14      1.25258884e-14                    
           6060.1213            1.000393                       |         4.94697126e+14      1.22549791e-14                    
           6064.1688            1.025974                       |         4.94366943e+14      1.25851447e-14                    
           6068.2164            1.025747                       |         4.94037192e+14      1.25991623e-14                    
            6072.264            1.014178                       |         4.93707881e+14      1.24736849e-14                    
           6076.3116            1.008812                       |         4.93379008e+14      1.24242336e-14                    
           6080.3591            1.016805                       |         4.93050582e+14      1.25393616e-14                    
           6084.4067            1.015357                       |         4.92722584e+14      1.25381810e-14                    
           6088.4543           0.9686565                       |         4.92395022e+14      1.19774177e-14                    
           6092.5019           0.9554787                       |         4.92067896e+14      1.18301882e-14                    
           6096.5494           0.9957666                       |         4.91741212e+14      1.23453966e-14                    
            6100.597           0.9933119                       |         4.91414953e+14      1.23313211e-14                    
           6104.6446           0.9983433                       |         4.91089127e+14      1.24102341e-14                    
           6108.6922           0.9987092                       |         4.90763733e+14      1.24312509e-14                    
           6112.7397            1.003625                       |         4.90438778e+14      1.25089994e-14                    
           6116.7873           0.9944655                       |         4.90114245e+14      1.24112572e-14                    
           6120.8349           0.9601594                       |         4.89790141e+14      1.19989699e-14                    
           6124.8825           0.9784974                       |         4.89466466e+14      1.22443150e-14                    
             6128.93            1.001176                       |         4.89143226e+14      1.25446644e-14                    
           6132.9776           0.9560151                       |         4.88820404e+14      1.19946286e-14                    
           6137.0252           0.9774938                       |         4.88498009e+14      1.22803041e-14                    
           6141.0728           0.9781935                       |         4.88176038e+14      1.23053100e-14                    
           6145.1203           0.9638829                       |         4.87854500e+14      1.21412765e-14                    
           6149.1679           0.9653864                       |         4.87533377e+14      1.21762393e-14                    
           6153.2155           0.9648027                       |         4.87212676e+14      1.21849024e-14                    
           6157.2631           0.9456651                       |         4.86892397e+14      1.19589233e-14                    
           6161.3106           0.9184278                       |         4.86572547e+14      1.16297538e-14                    
           6165.3582           0.9532852                       |         4.86253109e+14      1.20870070e-14                    
           6169.4058           0.9377885                       |         4.85934089e+14      1.19061369e-14                    
           6173.4533           0.9376053                       |         4.85615497e+14      1.19194354e-14                    
           6177.5009           0.9641864                       |         4.85297313e+14      1.22734295e-14                    
           6181.5485            0.936424                       |         4.84979547e+14      1.19356588e-14                    
           6185.5961           0.9194064                       |         4.84662196e+14      1.17341041e-14                    
           6189.6436           0.9594219                       |         4.84345268e+14      1.22608396e-14                    
           6193.6912             0.97277                       |         4.84028747e+14      1.24476842e-14                    
           6197.7388           0.9539379                       |         4.83712639e+14      1.22226658e-14                    
           6201.7864           0.9547141                       |         4.83396944e+14      1.22485940e-14                    
           6205.8339            0.945488                       |         4.83081668e+14      1.21460653e-14                    
           6209.8815           0.9659017                       |         4.82766795e+14      1.24244980e-14                    
           6213.9291           0.9577163                       |         4.82452333e+14      1.23352729e-14                    
           6217.9767           0.9569104                       |         4.82138280e+14      1.23409545e-14                    
           6222.0242           0.9693377                       |         4.81824643e+14      1.25175055e-14                    
           6226.0718           0.9694678                       |         4.81511407e+14      1.25354790e-14                    
           6230.1194           0.9485998                       |         4.81198577e+14      1.22816033e-14                    
            6234.167           0.9366373                       |         4.80886154e+14      1.21424859e-14                    
           6238.2145           0.9365379                       |         4.80574143e+14      1.21569676e-14                    
           6242.2621           0.9386653                       |         4.80262530e+14      1.22003997e-14                    
           6246.3097            0.931732                       |         4.79951321e+14      1.21259936e-14                    
           6250.3573           0.9337664                       |         4.79640514e+14      1.21682249e-14                    
           6254.4048           0.9354709                       |         4.79330118e+14      1.22062300e-14                    
           6258.4524           0.9399322                       |         4.79020115e+14      1.22803213e-14                    
              6262.5           0.9454294                       |         4.78710513e+14      1.23681253e-14                    
           6266.5476           0.9485264                       |         4.78401311e+14      1.24246855e-14                    
           6270.5951           0.9437825                       |         4.78092516e+14      1.23785203e-14                    
           6274.6427            0.939559                       |         4.77784112e+14      1.23390395e-14                    
           6278.6903           0.9482453                       |         4.77476105e+14      1.24691864e-14                    
           6282.7379           0.9633187                       |         4.77168495e+14      1.26837353e-14                    
           6286.7854           0.9714929                       |         4.76861289e+14      1.28078490e-14                    
            6290.833           0.9802427                       |         4.76554471e+14      1.29398495e-14                    
           6294.8806           0.9968709                       |         4.76248047e+14      1.31762919e-14                    
           6298.9282           0.9755588                       |         4.75942017e+14      1.29111838e-14                    
           6302.9757           0.9654213                       |         4.75636387e+14      1.27934430e-14                    
           6307.0233           0.9452715                       |         4.75331142e+14      1.25425179e-14                    
           6311.0709           0.9198873                       |         4.75026289e+14      1.22213741e-14                    
           6315.1185           0.9890264                       |         4.74721827e+14      1.31567974e-14                    
            6319.166           0.9547516                       |         4.74417762e+14      1.27171332e-14                    
           6323.2136           0.9534514                       |         4.74114079e+14      1.27160891e-14                    
           6327.2612           0.9907992                       |         4.73810784e+14      1.32311158e-14                    
           6331.3088           0.9722656                       |         4.73507877e+14      1.30002351e-14                    
           6335.3563           0.9393915                       |         4.73205365e+14      1.25767379e-14                    
           6339.4039           0.9370291                       |         4.72903231e+14      1.25611447e-14                    
           6343.4515           0.9593186                       |         4.72601484e+14      1.28763688e-14                    
           6347.4991           0.9749987                       |         4.72300121e+14      1.31035397e-14                    
           6351.5466           0.9767601                       |         4.71999149e+14      1.31439586e-14                    
           6355.5942           0.9564242                       |         4.71698553e+14      1.28867135e-14                    
           6359.6418            0.958847                       |         4.71398340e+14      1.29358187e-14                    
           6363.6894           0.9582878                       |         4.71098509e+14      1.29447362e-14                    
           6367.7369           0.9646757                       |         4.70799067e+14      1.30476067e-14                    
           6371.7845           0.9896134                       |         4.70499997e+14      1.34019200e-14                    
           6375.8321            1.013219                       |         4.70201308e+14      1.37390393e-14                    
           6379.8797            0.981598                       |         4.69902997e+14      1.33271701e-14                    
           6383.9272           0.9453861                       |         4.69605072e+14      1.28518119e-14                    
           6387.9748           0.9352124                       |         4.69307517e+14      1.27296347e-14                    
           6392.0224           0.9512752                       |         4.69010339e+14      1.29646873e-14                    
           6396.0699           0.9602609                       |         4.68713544e+14      1.31037302e-14                    
           6400.1175           0.9618013                       |         4.68417117e+14      1.31413672e-14                    
           6404.1651           0.9768779                       |         4.68121065e+14      1.33642509e-14                    
           6408.2127           0.9653195                       |         4.67825388e+14      1.32228238e-14                    
           6412.2602           0.9521561                       |         4.67530090e+14      1.30589940e-14                    
           6416.3078           0.9567761                       |         4.67235158e+14      1.31389298e-14                    
           6420.3554           0.9632571                       |         4.66940598e+14      1.32446246e-14                    
            6424.403           0.9533434                       |         4.66646409e+14      1.31248459e-14                    
           6428.4505           0.9402702                       |         4.66352598e+14      1.29611810e-14                    
           6432.4981           0.9803507                       |         4.66059149e+14      1.35306946e-14                    
           6436.5457           0.9711459                       |         4.65766069e+14      1.34205246e-14                    
           6440.5933           0.9292712                       |         4.65473358e+14      1.28580031e-14                    
           6444.6408           0.9378849                       |         4.65181021e+14      1.29935036e-14                    
           6448.6884           0.9455423                       |         4.64889045e+14      1.31160494e-14                    
            6452.736           0.9609036                       |         4.64597434e+14      1.33458706e-14                    
           6456.7836           0.9693317                       |         4.64306190e+14      1.34798225e-14                    
           6460.8311           0.9733052                       |         4.64015317e+14      1.35520537e-14                    
           6464.8787           0.9813802                       |         4.63724801e+14      1.36816145e-14                    
           6468.9263           0.9746454                       |         4.63434649e+14      1.36047429e-14                    
           6472.9739           0.9604813                       |         4.63144860e+14      1.34238139e-14                    
           6477.0214           0.9599723                       |         4.62855440e+14      1.34334840e-14                    
            6481.069           0.9911017                       |         4.62566374e+14      1.38864363e-14                    
           6485.1166           0.9671389                       |         4.62277670e+14      1.35676217e-14                    
           6489.1642           0.9405657                       |         4.61989325e+14      1.32113123e-14                    
           6493.2117           0.9412047                       |         4.61701347e+14      1.32367848e-14                    
           6497.2593           0.9267868                       |         4.61413721e+14      1.30502711e-14                    
           6501.3069           0.9610103                       |         4.61126453e+14      1.35490446e-14                    
           6505.3545           0.9622443                       |         4.60839542e+14      1.35833402e-14                    
            6509.402           0.9442574                       |         4.60552995e+14      1.33460233e-14                    
           6513.4496           0.9767886                       |         4.60266798e+14      1.38229899e-14                    
           6517.4972           0.9663901                       |         4.59980956e+14      1.36928381e-14                    
           6521.5448           0.9613822                       |         4.59695468e+14      1.36388055e-14                    
           6525.5923           0.9967929                       |         4.59410342e+14      1.41587236e-14                    
           6529.6399           0.9609345                       |         4.59125562e+14      1.36663187e-14                    
           6533.6875           0.9503803                       |         4.58841135e+14      1.35329800e-14                    
           6537.7351            1.052257                       |         4.58557061e+14      1.50022279e-14                    
           6541.7826            1.123881                       |         4.58273344e+14      1.60432311e-14                    
           6545.8302            1.134888                       |         4.57989972e+14      1.62204079e-14                    
           6549.8778            1.439641                       |         4.57706950e+14      2.06015500e-14                    
           6553.9254             1.80574                       |         4.57424277e+14      2.58724467e-14                    
           6557.9729            2.000658                       |         4.57141961e+14      2.87006271e-14                    
           6562.0205            2.040794                       |         4.56859985e+14      2.93125520e-14                    
           6566.0681            2.010396                       |         4.56578358e+14      2.89115698e-14                    
